ID,State,StateID,StateText,TimeIn,TimeUserAck,TimePLCAck,MessageID,MessageText,Occur,GroupID,GroupText,Priority,Parameter1,Parameter2,Group,Class,HistoricalID,HasNotes,SortBuffer,TimeInUTC
32,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4127,Protective cover 5 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFGK1,20000200,20,4,1,0,,13/09/2021
47,0,$362,,10/09/2021,30/12/1899,13/09/2021,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,2,0,,10/09/2021
32,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4127,Protective cover 5 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFGK1,20000200,20,4,3,0,,13/09/2021
75,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,4,0,,13/09/2021
47,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,5,0,,13/09/2021
75,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,6,0,,13/09/2021
104,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4211,Teach-in shift register leaflet unit! Press start!,1,$4192,Leaflet unit,460,CP:.VC_MX_025_MW_LernenSRProspekt,20002538,32,5,7,0,,13/09/2021
47,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,8,0,,13/09/2021
48,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4147,Automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoRun,20000608,24,6,9,0,,13/09/2021
71,4,$356,,13/09/2021,30/12/1899,30/12/1899,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,10,0,,13/09/2021
71,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4170,Axle synchronisation active,1,$4138,Operation,490,CP:.VC_MX_006_MW_Synchronlauf,20000635,24,5,11,0,,13/09/2021
104,0,$358,,13/09/2021,30/12/1899,13/09/2021,$4211,Teach-in shift register leaflet unit! Press start!,1,$4192,Leaflet unit,460,CP:.VC_MX_025_MW_LernenSRProspekt,20002538,32,5,12,0,,13/09/2021
48,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4147,Automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoRun,20000608,24,6,13,0,,13/09/2021
47,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,14,0,,13/09/2021
32,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4127,Protective cover 5 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFGK1,20000200,20,4,15,0,,13/09/2021
47,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,16,0,,13/09/2021
32,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4127,Protective cover 5 open,1,$4126,Protective covers,650,CP:.VC_MX_002_MS_SHFGK1,20000200,20,4,17,0,,13/09/2021
75,4,$352,,13/09/2021,30/12/1899,30/12/1899,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,18,0,,13/09/2021
47,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,19,0,,13/09/2021
75,0,$354,,13/09/2021,30/12/1899,13/09/2021,$4175,"Axes not released, please wait",1,$4171,Main drive,610,CP:.VC_MX_007_MS_WatchEnable,20000704,25,4,20,0,,13/09/2021
47,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,21,0,,13/09/2021
48,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4147,Automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoRun,20000608,24,6,22,0,,13/09/2021
48,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4147,Automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoRun,20000608,24,6,23,0,,13/09/2021
47,4,$360,,13/09/2021,30/12/1899,30/12/1899,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,24,0,,13/09/2021
47,0,$362,,13/09/2021,30/12/1899,13/09/2021,$4146,Ready for automatic operation,1,$4138,Operation,310,CP:.VC_MX_006_MH_AutoReady,20000607,24,6,25,0,,13/09/2021
